"Mineral Name","Mineral Name (plain)","IMA Chemistry (HTML)","Chemistry Elements","Year First Published","IMA Status","Structural Groupname","Crystal Systems","Valence Elements","IMA Mineral Symbol"
"Abellaite","Abellaite","NaPb<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)","Na Pb C O H","2014","Approved","Not in a structural group","hexagonal","Na Pb^2+ C O H","Abe"
"Abelsonite","Abelsonite","NiC<sub>31</sub>H<sub>32</sub>N<sub>4</sub>","Ni C H N","1975","Approved","Not in a structural group","triclinic","Ni^2+ C H N","Abl"
"Abenakiite-(Ce)","Abenakiite-(Ce)","Na<sub>26</sub>Ce<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(PO<sub>4</sub>)<sub>6</sub>(CO<sub>3</sub>)<sub>6</sub>(SO<sub>2</sub>)O","Na Ce Si O P C S","1991","Approved","Not in a structural group","hexagonal","Na Ce^3+ Si O P C S^4+","Abk-Ce"
"Abernathyite","Abernathyite","K(UO<sub>2</sub>)(AsO<sub>4</sub>)·3H<sub>2</sub>O","K U O As H","1956","Approved,Grandfathered","Natroautunite","tetragonal","K U^6+ O As^5+ H","Abn"
"Abhurite","Abhurite","Sn<sup>2+</sup><sub>21</sub>O<sub>6</sub>(OH)<sub>14</sub>Cl<sub>16</sub>","Sn O H Cl","1983","Approved","Not in a structural group","hexagonal","Sn^2+ O H Cl","Abh"
"Abramovite","Abramovite","Pb<sub>2</sub>SnInBiS<sub>7</sub>","Pb Sn In Bi S","2006","Approved","Not in a structural group","triclinic","Pb^2+ Sn^4+ In^3+ Bi^3+ S^2-","Abm"
"Abswurmbachite","Abswurmbachite","Cu<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>O<sub>8</sub>(SiO<sub>4</sub>)","Cu Mn O Si","1990","Approved","Braunite","tetragonal","Cu^2+ Mn^3+ O Si","Abs"
"Abuite","Abuite","CaAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>F<sub>2</sub>","Ca Al P O F","2014","Approved","Not in a structural group","orthorhombic","Ca Al P O F","Abu"
"Acanthite","Acanthite","Ag<sub>2</sub>S","Ag S","1855","Approved,Grandfathered","Acanthite","monoclinic","Ag^1+ S^2-","Aca"
"Acetamide","Acetamide","CH<sub>3</sub>CONH<sub>2</sub>","C H O N","1974","Approved","Not in a structural group","hexagonal","C H O N","Ace"
"Achalaite","Achalaite","Fe<sup>2+</sup>TiNb<sub>2</sub>O<sub>8</sub>","Fe Ti Nb O","2013","Approved","Columbite","monoclinic","Fe^2+ Ti^4+ Nb^5+ O","Ahl"
"Achávalite","Achavalite","FeSe","Fe Se","1939","Approved,Renamed","Nickeline","hexagonal","Fe Se","Ahv"
"Achyrophanite","Achyrophanite","(K,Na)<sub>3</sub>(Fe<sup>3+</sup>,Ti,Al,Mg)<sub>5</sub>O<sub>2</sub>(AsO<sub>4</sub>)<sub>5</sub>","K Na Fe Ti Al Mg O As","2018","Approved,Pending publication","Not in a structural group","orthorhombic","K Na Fe^3+ Ti Al Mg O As^5+","Aph"
"Acmonidesite","Acmonidesite","(NH<sub>4</sub>,K,Pb,Na)<sub>9</sub>Fe<sup>2+</sup><sub>4</sub>(SO<sub>4</sub>)<sub>5</sub>Cl<sub>8</sub>","N H K Pb Na Fe S O Cl","2013","Approved","Not in a structural group","orthorhombic","N^3- H K Pb^2+ Na Fe^2+ S^6+ O Cl","Acm"
"Actinolite","Actinolite","◻Ca<sub>2</sub>(Mg<sub>4.5-2.5</sub>Fe<sup>2+</sup><sub>0.5-2.5</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","Ca Mg Fe Si O H","1794","Approved,Redefined","Amphibole","monoclinic","Ca Mg Fe^2+ Si O H","Act"
"Acuminite","Acuminite","SrAlF<sub>4</sub>(OH)·H<sub>2</sub>O","Sr Al F O H","1986","Approved","Tikhonenkovite","monoclinic","Sr Al F O H","Acu"
"Adachiite","Adachiite","CaFe<sup>2+</sup><sub>3</sub>Al<sub>6</sub>(Si<sub>5</sub>AlO<sub>18</sub>)(BO<sub>3</sub>)<sub>3</sub>(OH)<sub>3</sub>(OH)","Ca Fe Al Si O B H","2012","Approved","Tourmaline","hexagonal|unknown","Ca Fe^2+ Al Si O B H","Adc"
"Adamite","Adamite","Zn<sub>2</sub>(AsO<sub>4</sub>)(OH)","Zn As O H","1866","Approved,Grandfathered","Andalusite","orthorhombic","Zn^2+ As^5+ O H","Ad"
"Adamsite-(Y)","Adamsite-(Y)","NaY(CO<sub>3</sub>)<sub>2</sub>·6H<sub>2</sub>O","Na Y C O H","1999","Approved","Not in a structural group","triclinic","Na Y C O H","Ads-Y"
"Adanite","Adanite","Pb<sub>2</sub>(Te<sup>4+</sup>O<sub>3</sub>)(SO<sub>4</sub>)","Pb Te O S","2019","Approved"," ","monoclinic","Pb^2+ Te^4+ O S^6+","Adn"
"Addibischoffite","Addibischoffite","Ca<sub>2</sub>Al<sub>6</sub>Al<sub>6</sub>O<sub>20</sub>","Ca Al O","2015","Approved","Sapphirine","triclinic","Ca Al O","Add"
"Adelite","Adelite","CaMg(AsO<sub>4</sub>)(OH)","Ca Mg As O H","1891","Approved,Grandfathered","Adelite","orthorhombic","Ca Mg As^5+ O H","Ade"
"Admontite","Admontite","MgB<sub>6</sub>O<sub>10</sub>·7H<sub>2</sub>O","Mg B O H","1978","Approved","Not in a structural group","monoclinic","Mg B O H","Amt"
"Adolfpateraite","Adolfpateraite","K(UO<sub>2</sub>)(SO<sub>4</sub>)(OH)(H<sub>2</sub>O)","K U O S H","2011","Approved","Not in a structural group","monoclinic","K U^6+ O S^6+ H","Adp"
"Adranosite","Adranosite","(NH<sub>4</sub>)<sub>4</sub>NaAl<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>Cl(OH)<sub>2</sub>","N H Na Al S O Cl","2008","Approved","Adranosite","tetragonal","N^3- H Na Al S^6+ O Cl","Arn"
"Adranosite-(Fe)","Adranosite-(Fe)","(NH<sub>4</sub>)<sub>4</sub>NaFe<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>Cl(OH)<sub>2</sub>","N H Na Fe S O Cl","2011","Approved","Adranosite","tetragonal","N^3- H Na Fe^3+ S^6+ O Cl","Arn-Fe"
"Adrianite","Adrianite","Ca<sub>12</sub>(Al<sub>4</sub>Mg<sub>3</sub>Si<sub>7</sub>)O<sub>32</sub>Cl<sub>6</sub>","Ca Al Mg Si O Cl","2014","Approved"," ","cubic","Ca Al Mg Si O Cl","Adt"
"Aegirine","Aegirine","NaFe<sup>3+</sup>Si<sub>2</sub>O<sub>6</sub>","Na Fe Si O","1835","Approved","Pyroxene","monoclinic","Na Fe^3+ Si O","Aeg"
"Aegirine-augite","Aegirine-augite","(Ca,Na)(Fe<sup>3+</sup>,Mg,Fe<sup>2+</sup>)Si<sub>2</sub>O<sub>6</sub>","Ca Na Fe Mg Si O","1892","Approved,Redefined","Pyroxene","monoclinic","Ca Na Fe^3+ Mg Fe^2+ Si O","Aeg-Aug"
"Aenigmatite","Aenigmatite","Na<sub>4</sub>[Fe<sup>2+</sup><sub>10</sub>Ti<sub>2</sub>]O<sub>4</sub>[Si<sub>12</sub>O<sub>36</sub>]","Na Fe Ti O Si","1865","Approved","Sapphirine","triclinic","Na Fe^2+ Ti^4+ O Si","Aen"
"Aerinite","Aerinite","(Ca,Na)<sub>6</sub>(Fe<sup>3+</sup>,Fe<sup>2+</sup>,Mg,Al)<sub>4</sub>(Al,Mg)<sub>6</sub>Si<sub>12</sub>O<sub>36</sub>(OH)<sub>12</sub>(CO<sub>3</sub>)·12H<sub>2</sub>O","Ca Na Fe Mg Al Si O H C","1876","Approved,Redefined","Not in a structural group","hexagonal","Ca Na Fe^3+ Fe^2+ Mg Al Si O H C","Aer"
"Aerugite","Aerugite","Ni<sub>8.5</sub>(AsO<sub>4</sub>)<sub>2</sub>As<sup>5+</sup>O<sub>8</sub>","Ni As O","1858","Approved,Redefined","Not in a structural group","hexagonal","Ni^2+ As^5+ O","Aru"
"Aeschynite-(Ce)","Aeschynite-(Ce)","(Ce,Ca,Fe,Th)(Ti,Nb)<sub>2</sub>(O,OH)<sub>6</sub>","Ce Ca Fe Th Ti Nb O H","1830","Approved,Renamed","Aeschynite","orthorhombic","Ce^3+ Ca Fe^2+ Th^4+ Ti^4+ Nb^5+ O H","Aes-Ce"
