Code,Name,Description,Level
1,ELEMENTS,"Metals and intermetallic alloys; metalloids and nonmetals; carbides, silicides, nitrides, phosphides",1
1.A,Metals and Intermetallic Alloys,,2
1.AA,Copper-cupalite family,,3
1.AB,Zinc-brass family,,3
1.AC,Indium-tin family,,3
1.AD,Mercury-amalgam family,,3
1.AE,Iron-chromium family,,3
1.AF,Platinum group elements,,3
1.AG,PGE-metal alloys,,3
1.AH,"Miscellaneous Elements, alloys",,3
1.AI,Alloys of Iron and Titanium with Oxygen,,3
1.B,"Metallic Carbides, Silicides, Nitrides, Phosphides and Hydrides",,2
1.BA,Carbides,,3
1.BB,Silicides,,3
1.BC,Nitrides,,3
1.BD,Phosphides,,3
1.BE,Hydrides,,3
1.C,Metalloids and Nonmetals,,2
1.CA,Arsenic group elements,,3
1.CB,Carbon-silicon family,,3
1.CC,Sulphur-selenium-iodine,,3
1.D,Nonmetallic Carbides and Nitrides,,2
1.DA,Nonmetallic carbides,,3
1.DB,Nonmetallic nitrides,,3
2,SULPHIDES and SULPHOSALTS,"sulphides, selenides, tellurides; arsenides, antimonides, bismuthides; sulpharsenites, sulphantimonites, sulphbismuthites, etc.",1
2.A,Alloys,,2
2.AA,"Alloys of metalloids with Cu, Ag, Au",,3
2.AB,Ni-metalloid alloys,,3
2.AC,Alloys of metalloids with PGE,,3
2.B,"Metal Sulphides, M: S > 1: 1 (mainly 2: 1)",,2
2.BA,"With Cu, Ag, Au",,3
2.BB,With Ni,,3
2.BC,"With Rh, Pd, Pt, etc.",,3
2.BD,"With Hg, Tl",,3
2.BE,With Pb (Bi),,3
2.C,"Metal Sulphides, M: S = 1: 1 (and similar)",,2
2.CA,With Cu,,3
2.CB,"With Zn, Fe, Cu, Ag, etc.",,3
2.CC,"With Ni, Fe, Co, PGE, etc.",,3
2.CD,"With Sn, Pb, Hg, etc.",,3
2.D,"Metal Sulphides, M: S = 3:4 and 2:3",,2
2.DA,M:S = 3:4,,3
2.DB,M:S = 2:3,,3
2.DC,Variable M:S,,3
2.E,"Metal Sulphides, M: S <= 1:2",,2
2.EA,"M:S = 1:2 - With Cu, Ag, Au",,3
2.EB,"M:S = 1:2, with Fe, Co, Ni, PGE, etc.",,3
2.EC,M:S = 1:>2,,3
2.F,"Sulphides of arsenic, alkalies; sulphides with halide, oxide, hydroxide, H2O",,2
2.FA,"With As, (Sb), S",,3
2.FB,"With alkalies (without Cl, etc.)",,3
2.FC,"With Cl, Br, I (halide-sulphides)",,3
2.FD,"With O, OH, H2O",,3
2.G,"Sulpharsenites, sulphantimonites, sulphbismuthites",,2
2.GA,"Neso-sulpharsenites, etc. without additional S",,3
2.GB,"Neso-sulpharsenites, etc. with additional S",,3
2.GC,Poly-sulpharsenites,,3
2.H,Sulphosalts of SnS archetype,,2
2.HA,"With Cu, Ag, Fe (without Pb)",,3
2.HB,"With Cu, Ag, Fe, Sn and Pb",,3
2.HC,With only Pb,,3
2.HD,With Tl,,3
2.HE,"With alkalies, H2O",,3
2.HF,With SnS and PbS archetype structure units,,3
2.J,Sulphosalts of PbS archetype,,2
2.JA,Galena derivatives with little or no Pb,,3
2.JB,"Galena derivatives, with Pb",,3
2.JC,"Galena derivatives, with Tl",,3
2.K,"Sulpharsenates, Sulphantimonates",,2
2.KA,"Sulpharsenates with (As,Sb)S4 tetrahedra",,3
2.KB,Sulpharsenates with additional S,,3
2.L,Unclassified Sulphosalts,,2
2.LA,Without essential Pb,,3
2.LB,With essential Pb,,3
2.M,Oxysulphosalts,,2
2.MA,Oxysulphosalts of Alkalies and Alkali Earths,,3
3,HALIDES,,1
3.A,"Simple halides, without H2O",,2
3.AA,"M:X = 1:1, 2:3, 3:5, etc.",,3
3.AB,M:X = 1:2,,3
3.AC,M:X = 1:3,,3
3.B,"Simple halides, with H2O",,2
3.BA,M:X = 1:1 and 2:3,,3
3.BB,M:X = 1:2,,3
3.BC,M:X = 1:3,,3
3.BD,Simple halides with H2O and additional OH,,3
3.C,Complex halides,,2
3.CA,Borofluorides,,3
3.CB,Neso-aluminofluorides,,3
3.CC,Soro-aluminofluorides,,3
3.CD,Ino-aluminofluorides,,3
3.CE,Phyllo-aluminofluorides,,3
3.CF,Tekto-aluminofluorides,,3
3.CG,"Aluminofluorides with CO3, SO4, PO4",,3
3.CH,Silicofluorides,,3
3.CJ,"With MX6 complexes; M = Fe, Mn, Cu",,3
3.CK,"Halides of Bi, etc.",,3
3.D,"Oxyhalides, hydroxyhalides and related double halides",,2
3.DA,"With Cu, etc., without Pb",,3
3.DB,"With Pb, Cu, etc.",,3
3.DC,"With Pb (As,Sb,Bi), without Cu",,3
3.DD,With Hg,,3
3.DE,With Rare-Earth Elements,,3
4,OXIDES,"Hydroxides, V[5,6] vanadates, arsenites, antimonites, bismuthites, sulphites, selenites, tellurites, iodates",1
4.A,Metal: Oxygen = 2:1 and 1:1,,2
4.B,Metal: Oxygen = 3:4 and similar,,2
4.C,"Metal: Oxygen = 2: 3,3: 5, and similar",,2
4.D,Metal: Oxygen = 1:2 and similar,,2
4.E,Metal: Oxygen = < 1 :2,,2
4.F,Hydroxides (without V or U),,2
4.G,Uranyl Hydroxides,,2
4.H,"V[5,6] Vanadates",,2
4.J,"Arsenites, antimonites, bismuthites, sulphites, selenites, tellurites; iodates",,2
4.K,Iodates: Trigonal [IO3] pyramids (mostly),,2
5,CARBONATES,NITRATES,1
5.A,"Carbonates without additional anions, without H2O",,2
